활동 종류,날짜,즐겨찾기,제목,거리,칼로리,시간,평균 심박,최대심박,유산소 훈련 효과,평균 수영 케이던스,최고 수영 케이던스,평균 페이스,최대 페이스,총 상승,총 하강,평균 보폭,평균 수직 비율,평균 수직 진동,평균 지면 접촉 시간,평균 GAP,평균 수영 케이던스,최고 수영 케이던스,Normalized Power® (NP®),Training Stress Score®,최대 평균파워(20분),평균 파워,최대 파워,총 스트로크,평균 Swolf,평균 스트로크 속도,걸음,총 반복 횟수,총 세트,바디 배터리 방전,최저 온도,감압,최고 랩 기록,랩 수,최고 온도,평균 응답,최소 응답,최대 응답,평균 스트레스,최대 스트레스,이동 시간,경과 시간,최저 해발,최고 해발
도로 사이클링,2026-03-22 07:30:04,false,"도로 사이클링","42.98","850","01:23:31","134","159","3.2","--","--","30.9","40.6","16","19","--","--","--","--","--","78","99","--","0.0","--","--","--","6387","--","--","--","--","--","--","6.0","아니오","00:05:47.6","9","10.0","33","22","42","--","--","01:23:23","01:24:35","8","13"
실내 자전거타기,2026-03-21 08:50:43,false,"실내 자전거타기","11.41","415","00:29:51","140","163","3.2","--","--","22.9","38.5","--","--","--","--","--","--","--","90","103","214","38.6","214","209","371","2695","--","--","--","--","--","--","20.0","아니오","00:29:51","1","21.0","32","24","41","--","--","00:29:51","00:29:51","--","--"
스텝퍼,2026-03-20 18:55:14,false,"스텝퍼","0.00","254","00:30:52","123","165","1.3","91","150","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","2,902","--","--","-4","--","아니오","00:30:52","1","--","--","--","--","--","--","00:00:00","00:30:52","--","--"
트레드밀 러닝,2026-03-20 18:10:59,false,"트레드밀 러닝","8.02","389","00:42:42","131","141","2.0","174","210","5:19","4:54","--","--","1.08","8.1","8.8","250","--","--","--","299","0.0","--","297","343","--","--","--","7,420","--","--","-6","--","아니오","00:00:06.0","9","--","--","--","--","--","--","00:42:14","00:43:19","--","--"
축구,2026-03-19 19:01:06,false,"축구","6.26","468","01:13:07","116","154","1.7","73","250","5.1","25.8","--","--","1.17","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8,424","--","--","--","--","아니오","01:13:07","1","--","--","--","--","--","--","01:03:21","01:25:49","--","--"
트레드밀 러닝,2026-03-19 12:36:25,false,"트레드밀 러닝","6.01","315","00:31:06","133","156","2.0","178","193","5:10","4:14","--","--","1.09","7.9","8.6","244","--","--","--","306","0.0","--","303","381","--","--","--","5,512","--","--","-2","--","아니오","00:00:03.5","7","--","--","--","--","--","--","00:30:58","00:31:06","--","--"
스텝퍼,2026-03-18 12:52:15,false,"스텝퍼","0.00","188","00:31:28","108","141","0.7","104","162","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,344","--","--","-2","--","아니오","00:31:28","1","--","--","--","--","--","--","00:00:00","00:31:28","--","--"
스텝퍼,2026-03-18 06:17:26,false,"스텝퍼","0.00","179","00:40:36","94","123","0.4","148","171","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","6,032","--","--","-2","--","아니오","00:40:36","1","--","--","--","--","--","--","00:00:00","00:40:36","--","--"
스텝퍼,2026-03-17 18:07:43,false,"스텝퍼","0.00","285","00:45:28","112","170","1.2","105","169","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,026","--","--","-4","--","아니오","00:45:28","1","--","--","--","--","--","--","00:00:00","00:45:28","--","--"
스텝퍼,2026-03-17 06:01:48,false,"스텝퍼","0.00","169","00:41:20","91","104","0.2","137","159","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,824","--","--","-4","--","아니오","00:41:20","1","--","--","--","--","--","--","00:00:00","00:41:20","--","--"
러닝,2026-03-15 07:42:47,false,"러닝","42.37","2,818","03:29:28","156","182","5.0","190","205","4:57","4:35","81","110","1.06","7.3","7.8","230","4:57","--","--","321","0.0","--","319","426","--","--","--","39,910","--","--","-27","--","아니오","00:01:48.0","43","--","34","23","48","--","--","03:29:07","03:29:28","13","53"
스텝퍼,2026-03-13 20:27:37,false,"스텝퍼","0.00","203","01:03:17","85","105","0.1","147","165","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","9,360","--","--","-4","--","아니오","01:03:17","1","--","--","--","--","--","--","00:00:00","01:03:17","--","--"
트레드밀 러닝,2026-03-11 12:36:05,false,"트레드밀 러닝","6.03","399","00:27:50","168","193","3.4","183","203","4:37","3:21","--","--","1.17","7.4","8.5","230","--","--","--","347","0.0","--","334","449","--","--","--","5,076","--","--","-8","--","아니오","00:00:07.7","7","--","--","--","--","--","--","00:27:48","00:27:50","--","--"
트레드밀 러닝,2026-03-10 12:34:29,false,"트레드밀 러닝","6.52","436","00:31:47","163","189","3.3","181","200","4:52","3:34","--","--","1.13","7.6","8.5","236","--","--","--","325","0.0","--","319","428","--","--","--","5,772","--","--","-7","--","아니오","00:02:46.9","7","--","--","--","--","--","--","00:31:42","00:33:33","--","--"
풀 수영,2026-03-10 07:08:03,false,"풀 수영","500","259","00:42:37","106","149","0.9","--","--","1:44","0:41","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","188","35","22","--","--","--","--","--","아니오","00:00:10.3","34","--","--","--","--","--","--","00:08:41.3","00:43:16","--","--"
트레드밀 러닝,2026-03-09 18:08:24,false,"트레드밀 러닝","8.07","547","00:44:21","150","195","3.1","172","200","5:30","3:44","--","--","1.05","8.4","8.8","256","--","--","--","293","0.0","--","289","423","--","--","--","7,626","--","--","-9","--","아니오","00:00:16.8","9","--","--","--","--","--","--","00:44:20","00:44:21","--","--"
스텝퍼,2026-03-09 12:46:06,false,"스텝퍼","0.00","219","00:37:18","109","169","1.0","108","167","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,074","--","--","-3","--","아니오","00:37:18","1","--","--","--","--","--","--","00:00:00","00:37:18","--","--"
스텝퍼,2026-03-09 05:04:56,false,"스텝퍼","0.00","217","01:03:06","87","104","0.2","135","160","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8,774","--","--","-2","--","아니오","01:03:06","1","--","--","--","--","--","--","00:00:00","01:03:41","--","--"
러닝,2026-03-08 06:38:20,false,"러닝","18.51","1,140","01:34:28","146","184","3.7","188","203","5:06","4:12","82","49","1.03","7.5","7.7","233","5:06","--","--","317","0.0","--","313","463","--","--","--","17,856","--","--","-20","--","아니오","00:02:45.9","19","--","--","--","--","--","--","01:33:58","01:47:11","22","58"
스텝퍼,2026-03-07 18:49:58,false,"스텝퍼","0.00","214","01:00:10","89","101","0.2","145","159","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8,722","--","--","-4","--","아니오","01:00:10","1","--","--","--","--","--","--","00:00:00","01:00:10","--","--"
실내 자전거타기,2026-03-07 09:41:38,false,"실내 자전거타기","18.05","638","00:52:22","--","--","2.0","--","--","20.7","30.3","--","--","--","--","--","--","--","83","103","184","50.2","184","180","312","4346","--","--","--","--","--","--","18.0","아니오","00:52:22","1","21.0","--","--","--","--","--","00:52:19","00:53:01","--","--"
스텝퍼,2026-03-06 21:39:15,false,"스텝퍼","0.00","115","00:30:35","89","104","0.2","143","163","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,398","--","--","--","--","아니오","00:30:35","1","--","--","--","--","--","--","00:00:00","00:30:35","--","--"
트레드밀 러닝,2026-03-06 18:43:20,false,"트레드밀 러닝","2.02","121","00:09:23.1","155","168","2.2","191","200","4:39","4:01","--","--","1.14","6.9","7.8","218","--","--","--","333","0.0","--","326","396","--","--","--","1,804","--","--","--","--","아니오","00:00:03.6","3","--","34","21","40","--","--","00:09:06","00:12:13","--","--"
스텝퍼,2026-03-06 18:06:14,false,"스텝퍼","0.00","211","00:36:03","111","118","0.7","114","125","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,132","--","--","-1","--","아니오","00:36:03","1","--","24","18","31","--","--","00:00:00","00:36:03","--","--"
트레드밀 러닝,2026-03-06 12:21:59,false,"트레드밀 러닝","8.02","425","00:42:40","135","156","2.4","176","188","5:19","4:51","--","--","1.06","8.1","8.6","248","--","--","--","297","0.0","--","295","330","--","--","--","7,528","--","--","-4","--","아니오","00:00:05.9","9","--","--","--","--","--","--","00:42:32","00:45:18","--","--"
트레드밀 러닝,2026-03-05 12:18:38,false,"트레드밀 러닝","8.02","426","00:39:41","143","169","2.7","183","205","4:57","3:16","--","--","1.11","7.6","8.3","235","--","--","--","318","0.0","--","313","458","--","--","--","7,236","--","--","-6","--","아니오","00:00:06.3","9","--","36","22","46","--","--","00:39:23","00:40:34","--","--"
